reading_id,station,timestamp,condition,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm
WTH_0033,Lekki,2026-05-26 12:00:00,Rainy,28.6,86,30.2,11.1
WTH_0034,Lekki,2026-05-26 12:00:00,,30.1,87,20.3,0.0
WTH_0035,Lekki,2026-05-26 12:00:00,Foggy,25.7,71,8.1,0.0
WTH_0036,Lagos_Island,2026-05-26 13:00:00,Stormy,29.5,71,9.0,12.3
WTH_0037,Surulere,2026-05-26 13:00:00,Foggy,25.9,72,5.9,0.0
WTH_0038,Surulere,2026-05-26 13:00:00,Stormy,26.0,84,34.7,14.4
WTH_0039,Ikeja,2026-05-26 13:00:00,Stormy,33.2,54,33.1,10.0
WTH_0040,Surulere,2026-05-26 13:00:00,Clear,25.5,90,8.1,0.0
WTH_0041,Ikeja,2026-05-26 14:00:00,Cloudy,26.4,79,13.1,0.0
WTH_0042,Yaba,2026-05-26 14:00:00,Stormy,34.0,81,0.6,8.0
WTH_0043,Ikeja,2026-05-26 14:00:00,Foggy,24.2,67,18.8,0.0
WTH_0044,Ikeja,2026-05-26 14:00:00,Rainy,29.5,77,28.2,13.6
WTH_0045,Ikeja,2026-05-26 14:00:00,Clear,29.8,134,6.7,0.0
WTH_0046,Lekki,2026-05-26 15:00:00,Rainy,,75,2.8,-2.8
WTH_0047,Lagos_Island,2026-05-26 15:00:00,Cloudy,27.3,55,22.9,0.0
WTH_0048,Ikeja,2026-05-26 15:00:00,Clear,28.5,74,19.3,0.0
WTH_0049,Ikeja,2026-05-26 15:00:00,Clear,31.7,55,17.5,0.0
WTH_0050,Lekki,2026-05-26 15:00:00,Foggy,30.2,56,31.3,0.0
WTH_0051,Lagos_Island,2026-05-26 16:00:00,Clear,26.3,86,16.6,0.0
WTH_0052,Ikeja,2026-05-26 16:00:00,Clear,31.5,67,31.5,0.0
WTH_0053,Ikeja,2026-05-26 16:00:00,Stormy,26.0,70,0.5,3.1
WTH_0054,Surulere,2026-05-26 16:00:00,Cloudy,34.2,69,5.7,0.0
WTH_0055,Yaba,2026-05-26 16:00:00,Cloudy,33.2,74,23.7,0.0
WTH_0056,Lekki,2026-05-26 17:00:00,Stormy,28.2,58,27.7,10.3
WTH_0057,Yaba,2026-05-26 17:00:00,Clear,32.2,72,1.9,0.0
WTH_0058,Lagos_Island,2026-05-26 17:00:00,Foggy,33.2,71,21.2,0.0
WTH_0059,Yaba,2026-05-26 17:00:00,Stormy,28.4,70,1.0,4.1
WTH_0060,Surulere,2026-05-26 17:00:00,Foggy,26.5,85,32.9,0.0
WTH_0061,Lagos_Island,2026-05-26 18:00:00,Foggy,,74,3.0,0.0
WTH_0062,Lekki,2026-05-26 18:00:00,Stormy,32.8,54,2.9,2.3
WTH_0063,Surulere,2026-05-26 18:00:00,Cloudy,27.5,56,3.2,0.0
WTH_0064,Surulere,2026-05-26 18:00:00,Rainy,28.0,67,3.6,1.3
WTH_0065,Surulere,2026-05-26 18:00:00,Foggy,30.1,82,14.3,0.0
WTH_0066,Ikeja,2026-05-26 19:00:00,Clear,27.9,55,20.9,0.0
WTH_0067,Surulere,2026-05-26 19:00:00,,24.1,136,13.6,1.3
WTH_0068,Yaba,2026-05-26 19:00:00,Cloudy,29.7,74,5.9,0.0
WTH_0069,Lekki,2026-05-26 19:00:00,Rainy,27.0,59,2.2,6.5
WTH_0070,Lekki,2026-05-26 19:00:00,Foggy,29.3,54,12.6,0.0
WTH_0071,Surulere,2026-05-26 20:00:00,Cloudy,30.5,62,16.0,0.0
WTH_0072,Lekki,2026-05-26 20:00:00,Cloudy,24.1,75,11.6,0.0
WTH_0073,Surulere,2026-05-26 20:00:00,Stormy,32.8,71,15.4,6.5
WTH_0074,Lagos_Island,2026-05-26 20:00:00,Stormy,27.3,88,33.2,3.0
WTH_0075,Lagos_Island,2026-05-26 20:00:00,Rainy,34.6,70,10.2,10.4
WTH_0076,Yaba,2026-05-26 21:00:00,Foggy,,70,13.2,0.0
WTH_0077,Lekki,2026-05-26 21:00:00,Foggy,25.3,86,7.0,0.0
WTH_0078,Lagos_Island,2026-05-26 21:00:00,Stormy,31.5,85,0.9,10.9
WTH_0079,Surulere,2026-05-26 21:00:00,Cloudy,32.8,54,28.7,0.0
WTH_0080,Surulere,2026-05-26 21:00:00,Foggy,25.5,69,8.5,0.0
WTH_0081,Surulere,2026-05-26 22:00:00,Cloudy,32.7,54,15.7,0.0
WTH_0082,Surulere,2026-05-26 22:00:00,Stormy,30.4,84,17.7,13.8
WTH_0083,Yaba,2026-05-26 22:00:00,Foggy,24.4,73,24.6,0.0
WTH_0084,Yaba,2026-05-26 22:00:00,Stormy,31.0,55,3.8,3.7
WTH_0085,Lagos_Island,2026-05-26 22:00:00,Rainy,31.1,52,19.7,9.7
WTH_0086,Lekki,2026-05-26 23:00:00,Foggy,34.6,77,3.7,0.0
WTH_0087,Lekki,2026-05-26 23:00:00,Clear,26.4,83,19.5,0.0
WTH_0088,Lagos_Island,2026-05-26 23:00:00,Stormy,28.9,75,16.2,10.2
WTH_0089,Lagos_Island,2026-05-26 23:00:00,Stormy,27.8,106,16.9,4.4
WTH_0090,Lagos_Island,2026-05-26 23:00:00,Clear,27.8,71,15.9,0.0
WTH_0091,Yaba,2026-05-27 00:00:00,Cloudy,,80,3.4,-1.5
WTH_0092,Lekki,2026-05-27 00:00:00,Foggy,24.7,52,28.4,0.0
WTH_0093,Ikeja,2026-05-27 00:00:00,Clear,33.3,56,23.7,0.0
WTH_0094,Lagos_Island,2026-05-27 00:00:00,Cloudy,29.7,85,5.6,0.0
WTH_0095,Surulere,2026-05-27 00:00:00,Stormy,34.5,64,27.9,9.4
WTH_0096,Surulere,2026-05-27 01:00:00,Cloudy,28.4,89,30.9,0.0
WTH_0097,Yaba,2026-05-27 01:00:00,Foggy,28.7,50,24.7,0.0
WTH_0098,Lekki,2026-05-27 01:00:00,Cloudy,32.3,54,20.2,0.0
WTH_0099,Lagos_Island,2026-05-27 01:00:00,Stormy,28.0,62,16.0,3.9
WTH_0100,Yaba,2026-05-27 01:00:00,,34.6,70,20.9,0.0
