vehicle_id,route_id,timestamp,latitude,longitude,speed_kmh,heading,status
VH_007,Route_C,2026-05-26 08:48:00,6.488576,3.318719,59.1,179,out_of_service
VH_011,Route_E,2026-05-26 08:51:00,6.496984,3.312864,66.4,133,in_service
VH_010,Route_C,2026-05-26 08:54:00,6.450121,3.39252,29.2,160,out_of_service
VH_010,Route_E,2026-05-26 08:57:00,6.462503,3.434931,18.3,22,out_of_service
VH_001,Route_E,2026-05-26 09:00:00,,,55.4,343,in_service
VH_006,Route_D,2026-05-26 09:03:00,6.455196,3.401993,28.1,160,in_service
VH_012,Route_C,2026-05-26 09:06:00,6.52514,3.402365,27.8,356,in_service
VH_009,Route_B,2026-05-26 09:09:00,6.474694,3.40209,31.5,89,in_service
VH_007,Route_E,2026-05-26 09:12:00,6.577396,3.351542,19.7,296,in_service
VH_008,Route_D,2026-05-26 09:15:00,6.514746,3.338918,38.1,86,in_service
VH_005,Route_E,2026-05-26 09:18:00,6.550217,3.395697,11.5,120,in_service
VH_004,Route_B,2026-05-26 09:21:00,6.467577,3.31547,73.9,312,in_service
VH_008,Route_D,2026-05-26 09:24:00,6.585782,3.389594,55.3,196,out_of_service
VH_007,Route_B,2026-05-26 09:27:00,6.467611,3.405267,67.5,54,out_of_service
VH_004,Route_B,2026-05-26 09:30:00,6.572658,3.406428,-2.6,285,in_service
VH_002,Route_D,2026-05-26 09:33:00,6.465334,3.37405,42.2,286,in_service
VH_013,Route_D,2026-05-26 09:36:00,6.542024,3.409698,40.3,280,out_of_service
VH_015,Route_B,2026-05-26 09:39:00,6.562985,3.375454,23.1,126,in_service
VH_013,Route_E,2026-05-26 09:42:00,6.521536,3.342494,35.8,146,in_service
VH_005,Route_C,2026-05-26 09:45:00,6.495154,3.384621,14.7,118,out_of_service
VH_012,Route_B,2026-05-26 09:48:00,6.557027,3.317992,33.5,277,out_of_service
VH_007,Route_A,2026-05-26 09:51:00,6.477094,3.36782,68.3,299,in_service
VH_014,Route_E,2026-05-26 09:54:00,6.504861,3.309825,29.6,199,out_of_service
VH_009,Route_E,2026-05-26 09:57:00,6.571979,3.434694,39.2,139,out_of_service
VH_008,Route_A,2026-05-26 10:00:00,,,60.9,84,out_of_service
VH_015,Route_B,2026-05-26 10:03:00,6.600916,3.383777,68.5,303,in_service
VH_002,Route_D,2026-05-26 10:06:00,6.465712,3.373638,8.5,194,in_service
VH_004,Route_D,2026-05-26 10:09:00,6.496295,3.415572,31.5,215,in_service
VH_014,Route_A,2026-05-26 10:12:00,6.519249,3.413863,8.6,179,in_service
VH_011,Route_A,2026-05-26 10:15:00,6.568997,3.400246,57.8,126,in_service
VH_014,Route_A,2026-05-26 10:18:00,6.543414,3.342396,38.1,58,in_service
VH_008,Route_C,2026-05-26 10:21:00,6.566704,3.33249,47.5,58,in_service
VH_005,Route_A,2026-05-26 10:24:00,6.53659,3.439044,45.3,192,out_of_service
VH_012,Route_B,2026-05-26 10:27:00,6.456159,3.405686,48.9,52,in_service
VH_014,Route_E,2026-05-26 10:30:00,6.572884,3.420472,44.6,21,in_service
VH_009,Route_D,2026-05-26 10:33:00,6.549843,3.318654,50.3,6,out_of_service
VH_014,Route_D,2026-05-26 10:36:00,6.460886,3.44351,49.5,235,in_service
VH_007,Route_B,2026-05-26 10:39:00,6.561407,3.444166,23.9,275,out_of_service
VH_008,Route_D,2026-05-26 10:42:00,6.576118,3.391946,27.6,125,in_service
VH_005,Route_D,2026-05-26 10:45:00,6.483018,3.374059,47.7,194,in_service
VH_001,Route_D,2026-05-26 10:48:00,6.580152,3.334458,19.8,132,in_service
VH_005,Route_E,2026-05-26 10:51:00,6.556189,3.347678,5.7,97,in_service
VH_004,Route_D,2026-05-26 10:54:00,6.522172,3.415143,53.3,330,out_of_service
VH_008,Route_A,2026-05-26 10:57:00,6.458889,3.340023,53.4,156,in_service
VH_008,Route_E,2026-05-26 11:00:00,,,57.2,169,
VH_012,Route_D,2026-05-26 11:03:00,6.487347,3.344197,13.4,98,in_service
VH_002,Route_E,2026-05-26 11:06:00,6.59614,3.405623,18.4,247,in_service
VH_012,Route_E,2026-05-26 11:09:00,6.600257,3.382449,24.8,51,in_service
VH_005,Route_B,2026-05-26 11:12:00,6.501741,3.351317,54.6,64,in_service
VH_001,Route_A,2026-05-26 11:15:00,6.532537,3.406638,-3.4,251,in_service
VH_010,Route_C,2026-05-26 11:18:00,6.519104,3.370666,17.9,26,in_service
VH_014,Route_D,2026-05-26 11:21:00,6.462254,3.318148,39.4,295,in_service
VH_003,Route_B,2026-05-26 11:24:00,6.573783,3.441878,11.0,127,in_service
VH_009,Route_D,2026-05-26 11:27:00,6.541011,3.419704,20.8,267,out_of_service
VH_008,Route_D,2026-05-26 11:30:00,6.491577,3.391394,35.0,291,in_service
VH_010,Route_A,2026-05-26 11:33:00,6.595614,3.33809,19.8,338,in_service
VH_003,Route_B,2026-05-26 11:36:00,6.47181,3.319509,5.2,230,out_of_service
VH_005,Route_A,2026-05-26 11:39:00,6.481036,3.407974,54.2,232,in_service
VH_011,Route_B,2026-05-26 11:42:00,6.591826,3.419296,48.8,338,in_service
VH_007,Route_A,2026-05-26 11:45:00,6.53113,3.399669,68.6,72,in_service
VH_001,Route_B,2026-05-26 11:48:00,6.570821,3.392306,62.7,147,out_of_service
VH_002,Route_D,2026-05-26 11:51:00,6.554188,3.406963,71.0,256,out_of_service
VH_008,Route_A,2026-05-26 11:54:00,6.539686,3.433519,56.4,309,in_service
VH_001,Route_A,2026-05-26 11:57:00,6.480628,3.403402,65.2,300,in_service
VH_013,Route_C,2026-05-26 12:00:00,,,17.3,265,out_of_service
VH_015,Route_C,2026-05-26 12:03:00,6.473038,3.390946,49.4,251,in_service
VH_008,Route_C,2026-05-26 12:06:00,6.509336,3.353948,12.3,82,in_service
VH_007,Route_D,2026-05-26 12:09:00,6.490115,3.441327,61.9,281,in_service
VH_008,Route_A,2026-05-26 12:12:00,6.494323,3.354258,72.9,206,in_service
VH_011,Route_E,2026-05-26 12:15:00,6.517916,3.316589,41.3,318,out_of_service
VH_011,Route_D,2026-05-26 12:18:00,6.565598,3.337498,43.4,147,out_of_service
VH_015,Route_D,2026-05-26 12:21:00,6.463428,3.445241,47.6,122,in_service
VH_005,Route_E,2026-05-26 12:24:00,6.446188,3.366119,20.7,58,out_of_service
VH_002,Route_B,2026-05-26 12:27:00,6.52374,3.409324,40.6,139,out_of_service
VH_014,Route_D,2026-05-26 12:30:00,6.600839,3.343122,43.6,196,in_service
VH_015,Route_E,2026-05-26 12:33:00,6.525319,3.432106,65.5,141,out_of_service
VH_006,Route_E,2026-05-26 12:36:00,6.486748,3.309359,55.8,300,out_of_service
VH_014,Route_B,2026-05-26 12:39:00,6.515448,3.376808,28.3,278,out_of_service
VH_008,Route_C,2026-05-26 12:42:00,6.583136,3.446308,21.7,196,in_service
VH_014,Route_D,2026-05-26 12:45:00,6.450984,3.413259,54.4,195,out_of_service
VH_011,Route_B,2026-05-26 12:48:00,6.523253,3.314183,40.2,302,in_service
VH_014,Route_A,2026-05-26 12:51:00,6.58387,3.370643,41.8,233,in_service
VH_012,Route_B,2026-05-26 12:54:00,6.509597,3.400669,15.8,240,in_service
VH_006,Route_E,2026-05-26 12:57:00,6.554833,3.399977,64.6,345,out_of_service
VH_006,Route_D,2026-05-26 13:00:00,,,-1.0,323,in_service
VH_012,Route_A,2026-05-26 13:03:00,6.513435,3.322782,49.4,51,out_of_service
VH_003,Route_C,2026-05-26 13:06:00,6.588548,3.315439,60.7,150,in_service
VH_006,Route_D,2026-05-26 13:09:00,6.467291,3.383363,44.6,92,in_service
VH_003,Route_A,2026-05-26 13:12:00,6.541519,3.362556,52.8,254,in_service
VH_004,Route_D,2026-05-26 13:15:00,6.546065,3.37334,51.7,238,in_service
VH_011,Route_E,2026-05-26 13:18:00,6.469276,3.370842,29.2,300,in_service
VH_011,Route_D,2026-05-26 13:21:00,6.55445,3.372957,26.1,196,out_of_service
VH_002,Route_B,2026-05-26 13:24:00,6.505018,3.359254,25.7,358,in_service
VH_001,Route_D,2026-05-26 13:27:00,6.487917,3.38823,53.0,25,out_of_service
VH_014,Route_C,2026-05-26 13:30:00,6.568119,3.341217,61.1,112,
VH_010,Route_C,2026-05-26 13:33:00,6.552442,3.40993,51.1,70,in_service
VH_015,Route_A,2026-05-26 13:36:00,6.493429,3.370715,45.6,67,in_service
VH_015,Route_C,2026-05-26 13:39:00,6.496275,3.36717,19.1,276,in_service
VH_009,Route_E,2026-05-26 13:42:00,6.590158,3.425266,23.0,246,in_service
VH_012,Route_C,2026-05-26 13:45:00,6.572677,3.374566,10.3,115,out_of_service
VH_014,Route_E,2026-05-26 13:48:00,6.502524,3.419695,6.0,274,in_service
VH_008,Route_C,2026-05-26 13:51:00,6.551653,3.403128,45.9,326,in_service
VH_002,Route_B,2026-05-26 13:54:00,6.519436,3.395737,71.0,167,in_service
VH_011,Route_A,2026-05-26 13:57:00,6.545665,3.373997,54.1,332,out_of_service
VH_002,Route_B,2026-05-26 14:00:00,,,74.7,59,in_service
VH_004,Route_E,2026-05-26 14:03:00,6.465706,3.37251,51.9,356,out_of_service
VH_010,Route_B,2026-05-26 14:06:00,6.585666,3.400689,63.4,315,out_of_service
VH_005,Route_A,2026-05-26 14:09:00,6.554445,3.339418,36.1,120,in_service
VH_002,Route_C,2026-05-26 14:12:00,6.531115,3.445898,30.1,203,in_service
VH_004,Route_A,2026-05-26 14:15:00,6.595842,3.424387,11.4,108,in_service
VH_001,Route_C,2026-05-26 14:18:00,6.482971,3.326629,44.5,35,in_service
VH_010,Route_B,2026-05-26 14:21:00,6.574088,3.34162,59.2,305,in_service
VH_005,Route_B,2026-05-26 14:24:00,6.602004,3.38463,60.9,56,in_service
VH_003,Route_A,2026-05-26 14:27:00,6.501319,3.41938,46.2,8,in_service
VH_005,Route_A,2026-05-26 14:30:00,6.464281,3.367934,13.0,32,out_of_service
VH_008,Route_C,2026-05-26 14:33:00,6.526118,3.324268,40.3,314,in_service
VH_012,Route_E,2026-05-26 14:36:00,6.492261,3.399068,7.2,245,out_of_service
VH_007,Route_A,2026-05-26 14:39:00,6.522443,3.436358,10.1,41,in_service
VH_010,Route_B,2026-05-26 14:42:00,6.454509,3.347502,49.3,280,in_service
VH_007,Route_E,2026-05-26 14:45:00,6.528889,3.37252,-3.8,50,in_service
VH_011,Route_E,2026-05-26 14:48:00,6.559334,3.339103,36.6,116,out_of_service
VH_006,Route_D,2026-05-26 14:51:00,6.507797,3.411146,26.9,160,in_service
VH_006,Route_B,2026-05-26 14:54:00,6.553891,3.375398,11.4,43,in_service
VH_007,Route_A,2026-05-26 14:57:00,6.563134,3.361171,14.1,30,in_service
VH_011,Route_A,2026-05-26 15:00:00,,,70.9,216,in_service
VH_005,Route_E,2026-05-26 15:03:00,6.493992,3.323504,40.5,79,out_of_service
VH_004,Route_A,2026-05-26 15:06:00,6.500018,3.386877,13.0,142,in_service
VH_013,Route_D,2026-05-26 15:09:00,6.579225,3.445437,62.3,314,in_service
VH_010,Route_C,2026-05-26 15:12:00,6.448633,3.347258,58.4,173,in_service
VH_001,Route_B,2026-05-26 15:15:00,6.583178,3.388285,33.1,72,in_service
VH_002,Route_E,2026-05-26 15:18:00,6.478421,3.367777,28.9,189,in_service
VH_012,Route_C,2026-05-26 15:21:00,6.568294,3.388463,10.9,26,in_service
VH_003,Route_E,2026-05-26 15:24:00,6.451962,3.320421,36.0,217,out_of_service
VH_010,Route_D,2026-05-26 15:27:00,6.510269,3.33918,40.9,176,out_of_service
VH_002,Route_C,2026-05-26 15:30:00,6.552515,3.392039,41.9,157,in_service
VH_004,Route_D,2026-05-26 15:33:00,6.601511,3.316669,19.3,108,in_service
VH_013,Route_C,2026-05-26 15:36:00,6.490312,3.325798,39.8,220,in_service
VH_003,Route_D,2026-05-26 15:39:00,6.529213,3.341216,44.1,342,in_service
VH_002,Route_D,2026-05-26 15:42:00,6.581882,3.314922,6.3,39,in_service
VH_010,Route_D,2026-05-26 15:45:00,6.535744,3.40833,34.2,58,out_of_service
VH_001,Route_C,2026-05-26 15:48:00,6.4715,3.441666,37.2,353,in_service
VH_002,Route_D,2026-05-26 15:51:00,6.579117,3.343064,46.2,268,in_service
VH_007,Route_C,2026-05-26 15:54:00,6.563329,3.34002,59.5,39,in_service
VH_009,Route_E,2026-05-26 15:57:00,6.475025,3.417672,29.6,330,in_service
VH_010,Route_C,2026-05-26 08:54:00,6.450121,3.39252,29.2,160,out_of_service
VH_004,Route_C,2026-05-26 08:00:00,,,26.0,161,in_service
VH_003,Route_D,2026-05-26 07:42:00,6.444345,3.363659,69.9,232,in_service
VH_002,Route_E,2026-05-26 11:06:00,6.59614,3.405623,18.4,247,in_service
VH_010,Route_C,2026-05-26 15:12:00,6.448633,3.347258,58.4,173,in_service
VH_007,Route_C,2026-05-26 15:54:00,6.563329,3.34002,59.5,39,in_service
VH_005,Route_D,2026-05-26 10:45:00,6.483018,3.374059,47.7,194,in_service
VH_002,Route_D,2026-05-26 06:12:00,6.459475,3.427649,47.3,22,out_of_service
VH_007,Route_D,2026-05-26 07:27:00,6.518724,3.411071,52.1,330,in_service
VH_005,Route_B,2026-05-26 14:24:00,6.602004,3.38463,60.9,56,in_service
VH_008,Route_C,2026-05-26 14:33:00,6.526118,3.324268,40.3,314,in_service
VH_009,Route_A,2026-05-26 06:54:00,6.583283,3.350782,49.7,311,in_service
