trip_id,vehicle_id,stop_id,route_id,timestamp,boarded,alighted,current_load,capacity
TRP_0054,VH_008,STOP_16,Route_C,2026-05-26 09:32:00,24,10,19,60
TRP_0055,VH_012,STOP_14,Route_A,2026-05-26 09:36:00,33,17,18,60
TRP_0056,VH_009,STOP_10,Route_C,2026-05-26 09:40:00,27,19,13,60
TRP_0057,VH_011,STOP_10,Route_C,2026-05-26 09:44:00,6,0,16,60
TRP_0058,VH_003,STOP_15,Route_C,2026-05-26 09:48:00,28,19,22,60
TRP_0059,VH_010,STOP_14,Route_C,2026-05-26 09:52:00,28,1,38,60
TRP_0060,VH_011,STOP_13,Route_C,2026-05-26 09:56:00,40,3,39,60
TRP_0061,VH_003,STOP_20,Route_D,2026-05-26 10:00:00,32,-1,22,60
TRP_0062,VH_013,STOP_12,Route_C,2026-05-26 10:04:00,8,1,14,60
TRP_0063,VH_010,STOP_05,Route_D,2026-05-26 10:08:00,24,18,7,60
TRP_0064,VH_013,STOP_03,Route_E,2026-05-26 10:12:00,23,11,26,60
TRP_0065,VH_007,STOP_11,Route_C,2026-05-26 10:16:00,8,8,11,60
TRP_0066,VH_012,STOP_06,Route_D,2026-05-26 10:20:00,15,3,12,60
TRP_0067,VH_005,STOP_09,Route_D,2026-05-26 10:24:00,33,24,12,60
TRP_0068,VH_012,STOP_16,Route_B,2026-05-26 10:28:00,13,9,13,60
TRP_0069,VH_008,STOP_06,Route_D,2026-05-26 10:32:00,7,2,7,60
TRP_0070,VH_011,STOP_12,Route_A,2026-05-26 10:36:00,5,5,10,60
TRP_0071,VH_015,STOP_10,Route_B,2026-05-26 10:40:00,35,34,10,60
TRP_0072,VH_013,STOP_12,Route_E,2026-05-26 10:44:00,45,45,5,60
TRP_0073,VH_013,STOP_05,Route_B,2026-05-26 10:48:00,14,1,19,60
TRP_0074,VH_009,STOP_19,Route_C,2026-05-26 10:52:00,31,1,41,60
TRP_0075,VH_010,STOP_03,Route_A,2026-05-26 10:56:00,29,25,8,60
TRP_0076,VH_009,STOP_14,Route_D,2026-05-26 11:00:00,,12,22,60
TRP_0077,VH_006,STOP_03,Route_D,2026-05-26 11:04:00,36,4,36,60
TRP_0078,VH_003,STOP_18,Route_E,2026-05-26 11:08:00,29,21,19,60
TRP_0079,VH_009,STOP_02,Route_A,2026-05-26 11:12:00,11,2,22,60
TRP_0080,VH_003,STOP_06,Route_C,2026-05-26 11:16:00,33,9,33,60
TRP_0081,VH_009,STOP_10,Route_A,2026-05-26 11:20:00,45,14,77,60
TRP_0082,VH_003,STOP_10,Route_E,2026-05-26 11:24:00,12,10,10,60
TRP_0083,VH_010,STOP_19,Route_B,2026-05-26 11:28:00,34,5,34,60
TRP_0084,VH_014,STOP_19,Route_A,2026-05-26 11:32:00,10,10,10,60
TRP_0085,VH_011,STOP_19,Route_C,2026-05-26 11:36:00,1,0,2,60
TRP_0086,VH_010,STOP_01,Route_D,2026-05-26 11:40:00,41,13,41,60
TRP_0087,VH_011,STOP_10,Route_D,2026-05-26 11:44:00,40,34,15,60
TRP_0088,VH_008,STOP_03,Route_A,2026-05-26 11:48:00,15,12,12,60
TRP_0089,VH_008,STOP_15,Route_B,2026-05-26 11:52:00,10,7,16,60
TRP_0090,VH_006,STOP_11,Route_C,2026-05-26 11:56:00,21,19,6,60
TRP_0091,VH_009,STOP_18,Route_A,2026-05-26 12:00:00,25,4,32,60
TRP_0092,VH_002,STOP_09,Route_D,2026-05-26 12:04:00,20,7,27,60
TRP_0093,VH_001,STOP_10,Route_D,2026-05-26 12:08:00,15,4,14,60
TRP_0094,VH_014,STOP_06,Route_C,2026-05-26 12:12:00,39,26,20,60
TRP_0095,VH_013,STOP_06,Route_D,2026-05-26 12:16:00,36,20,22,60
TRP_0096,VH_015,STOP_10,Route_D,2026-05-26 12:20:00,32,29,18,60
TRP_0097,VH_009,STOP_15,Route_B,2026-05-26 12:24:00,1,0,13,60
TRP_0098,VH_001,STOP_02,Route_C,2026-05-26 12:28:00,13,9,15,60
TRP_0099,VH_009,STOP_01,Route_A,2026-05-26 12:32:00,31,30,10,60
TRP_0100,VH_012,STOP_12,Route_D,2026-05-26 12:36:00,27,4,31,60
TRP_0101,VH_001,STOP_19,Route_E,2026-05-26 12:40:00,,1,34,60
TRP_0102,VH_002,STOP_13,Route_E,2026-05-26 12:44:00,12,5,16,60
TRP_0103,VH_014,STOP_20,Route_E,2026-05-26 12:48:00,28,24,12,60
TRP_0104,VH_007,STOP_12,Route_C,2026-05-26 12:52:00,7,2,8,60
TRP_0105,VH_004,STOP_20,Route_E,2026-05-26 12:56:00,35,23,16,60
TRP_0106,VH_001,STOP_02,Route_B,2026-05-26 13:00:00,25,16,10,60
TRP_0107,VH_009,STOP_15,Route_B,2026-05-26 13:04:00,45,21,39,60
TRP_0108,VH_006,STOP_20,Route_C,2026-05-26 13:08:00,38,32,10,60
TRP_0109,VH_010,STOP_11,Route_E,2026-05-26 13:12:00,10,6,13,60
TRP_0110,VH_008,STOP_01,Route_C,2026-05-26 13:16:00,32,31,10,60
TRP_0111,VH_007,STOP_19,Route_C,2026-05-26 13:20:00,21,21,3,60
TRP_0112,VH_010,STOP_16,Route_C,2026-05-26 13:24:00,44,40,4,60
TRP_0113,VH_012,STOP_02,Route_E,2026-05-26 13:28:00,41,37,11,60
TRP_0114,VH_003,STOP_08,Route_A,2026-05-26 13:32:00,30,5,37,60
TRP_0115,VH_001,STOP_15,Route_C,2026-05-26 13:36:00,36,7,35,60
TRP_0116,VH_012,STOP_07,Route_D,2026-05-26 13:40:00,26,4,35,60
TRP_0117,VH_012,STOP_05,Route_E,2026-05-26 13:44:00,32,30,3,60
TRP_0118,VH_011,STOP_16,Route_E,2026-05-26 13:48:00,13,8,15,60
TRP_0119,VH_008,STOP_18,Route_C,2026-05-26 13:52:00,24,10,19,60
TRP_0120,VH_010,STOP_16,Route_B,2026-05-26 13:56:00,34,22,20,60
TRP_0121,VH_004,STOP_10,Route_C,2026-05-26 14:00:00,15,-4,74,60
TRP_0122,VH_009,STOP_09,Route_C,2026-05-26 14:04:00,20,15,16,60
TRP_0123,VH_014,STOP_12,Route_B,2026-05-26 14:08:00,7,6,13,60
TRP_0124,VH_012,STOP_03,Route_C,2026-05-26 14:12:00,18,1,26,60
TRP_0125,VH_012,STOP_16,Route_B,2026-05-26 14:16:00,28,20,16,60
TRP_0126,VH_015,STOP_18,Route_C,2026-05-26 14:20:00,,8,12,60
TRP_0127,VH_004,STOP_02,Route_E,2026-05-26 14:24:00,8,1,14,60
TRP_0128,VH_001,STOP_04,Route_D,2026-05-26 14:28:00,14,10,11,60
TRP_0129,VH_011,STOP_05,Route_A,2026-05-26 14:32:00,21,15,9,60
TRP_0130,VH_011,STOP_16,Route_D,2026-05-26 14:36:00,35,10,38,60
TRP_0131,VH_006,STOP_10,Route_A,2026-05-26 14:40:00,41,12,38,60
TRP_0132,VH_009,STOP_02,Route_B,2026-05-26 14:44:00,5,5,7,60
TRP_0133,VH_015,STOP_02,Route_D,2026-05-26 14:48:00,26,26,5,60
TRP_0134,VH_015,STOP_02,Route_A,2026-05-26 14:52:00,31,11,29,60
TRP_0135,VH_015,STOP_11,Route_C,2026-05-26 14:56:00,19,18,4,60
TRP_0136,VH_015,STOP_05,Route_E,2026-05-26 15:00:00,29,20,24,60
TRP_0137,VH_013,STOP_04,Route_C,2026-05-26 15:04:00,29,8,27,60
TRP_0138,VH_012,STOP_06,Route_A,2026-05-26 15:08:00,10,7,11,60
TRP_0139,VH_003,STOP_20,Route_D,2026-05-26 15:12:00,21,9,18,60
TRP_0140,VH_002,STOP_13,Route_A,2026-05-26 15:16:00,27,16,21,60
TRP_0141,VH_006,STOP_08,Route_A,2026-05-26 15:20:00,11,2,24,60
TRP_0142,VH_008,STOP_09,Route_C,2026-05-26 15:24:00,16,12,11,60
TRP_0143,VH_005,STOP_12,Route_B,2026-05-26 15:28:00,19,18,1,60
TRP_0144,VH_005,STOP_06,Route_D,2026-05-26 15:32:00,3,0,17,60
TRP_0145,VH_012,STOP_04,Route_C,2026-05-26 15:36:00,43,32,20,60
TRP_0146,VH_004,STOP_05,Route_D,2026-05-26 15:40:00,23,19,11,60
TRP_0147,VH_007,STOP_18,Route_D,2026-05-26 15:44:00,9,7,13,60
TRP_0148,VH_011,STOP_20,Route_A,2026-05-26 15:48:00,34,13,28,60
TRP_0149,VH_002,STOP_19,Route_A,2026-05-26 15:52:00,33,28,16,60
TRP_0150,VH_003,STOP_11,Route_E,2026-05-26 15:56:00,3,1,6,60
